iter	Passed	Remaining
0	4	4564
1	11	5718
2	17	5981
3	24	6042
4	32	6499
5	39	6519
6	46	6540
7	52	6493
8	61	6721
9	68	6765
10	77	6996
11	85	7021
12	92	7008
13	101	7137
14	108	7137
15	117	7218
16	125	7265
17	132	7233
18	140	7242
19	147	7219
20	153	7162
21	161	7173
22	168	7165
23	176	7162
24	182	7134
25	189	7114
26	196	7067
27	202	7034
28	210	7063
29	217	7034
30	225	7052
31	232	7039
32	239	7015
33	246	7012
34	255	7040
35	263	7046
36	271	7075
37	280	7102
38	287	7085
39	300	7214
40	308	7225
41	320	7315
42	335	7473
43	344	7494
44	353	7492
45	360	7468
46	367	7447
47	374	7425
48	381	7397
49	389	7394
50	396	7372
51	403	7347
52	409	7316
53	417	7315
54	424	7295
55	433	7303
56	443	7344
57	450	7318
58	457	7298
59	464	7271
60	471	7256
61	478	7233
62	485	7223
63	493	7223
64	503	7244
65	514	7275
66	522	7276
67	532	7302
68	540	7288
69	547	7277
70	554	7259
71	562	7251
72	569	7234
73	578	7237
74	585	7215
75	591	7186
76	599	7187
77	606	7171
78	613	7152
79	621	7142
80	628	7126
81	633	7097
82	640	7079
83	646	7050
84	654	7050
85	661	7031
86	670	7036
87	676	7009
88	684	7001
89	690	6976
90	697	6962
91	704	6950
92	712	6946
93	719	6931
94	726	6918
95	733	6902
96	738	6879
97	744	6852
98	750	6831
99	758	6826
100	764	6805
101	771	6787
102	777	6772
103	783	6751
104	789	6730
105	795	6708
106	802	6693
107	808	6677
108	814	6659
109	820	6637
110	825	6613
111	831	6594
112	837	6575
113	843	6557
114	849	6539
115	855	6516
116	861	6499
117	867	6483
118	874	6472
119	880	6456
120	886	6437
121	894	6436
122	901	6428
123	908	6416
124	917	6424
125	925	6417
126	931	6406
127	938	6396
128	946	6389
129	953	6379
130	960	6369
131	967	6362
132	973	6346
133	980	6337
134	986	6323
135	997	6339
136	1005	6334
137	1012	6321
138	1018	6310
139	1025	6300
140	1037	6319
141	1043	6305
142	1049	6292
143	1057	6284
144	1063	6271
145	1070	6263
146	1077	6254
147	1084	6244
148	1089	6225
149	1097	6219
150	1103	6201
151	1108	6186
152	1115	6175
153	1123	6170
154	1130	6161
155	1137	6155
156	1144	6142
157	1152	6142
158	1159	6131
159	1164	6115
160	1170	6101
161	1176	6088
162	1183	6077
163	1189	6063
164	1195	6048
165	1202	6039
166	1207	6024
167	1214	6015
168	1220	6001
169	1226	5990
170	1233	5977
171	1238	5962
172	1244	5951
173	1250	5936
174	1258	5931
175	1264	5918
176	1269	5902
177	1275	5891
178	1281	5878
179	1289	5875
180	1295	5861
181	1304	5861
182	1311	5853
183	1317	5843
184	1324	5834
185	1344	5883
186	1353	5884
187	1361	5878
188	1367	5867
189	1372	5853
190	1379	5841
191	1384	5828
192	1390	5815
193	1396	5803
194	1402	5791
195	1409	5780
196	1414	5766
197	1422	5763
198	1430	5758
199	1438	5755
200	1446	5751
201	1454	5744
202	1460	5734
203	1467	5724
204	1473	5712
205	1483	5718
206	1489	5707
207	1496	5697
208	1502	5684
209	1507	5671
210	1515	5665
211	1521	5655
212	1528	5646
213	1534	5635
214	1542	5630
215	1549	5624
216	1555	5614
217	1563	5608
218	1570	5602
219	1576	5589
220	1582	5577
221	1589	5571
222	1595	5560
223	1603	5555
224	1609	5543
225	1616	5534
226	1622	5524
227	1628	5514
228	1635	5505
229	1641	5495
230	1647	5484
231	1653	5473
232	1658	5460
233	1664	5448
234	1671	5441
235	1677	5431
236	1683	5421
237	1692	5418
238	1698	5406
239	1704	5398
240	1712	5394
241	1719	5387
242	1726	5378
243	1733	5371
244	1739	5361
245	1745	5351
246	1751	5339
247	1757	5327
248	1763	5318
249	1769	5307
250	1774	5296
251	1780	5286
252	1786	5275
253	1792	5265
254	1799	5255
255	1804	5244
256	1811	5238
257	1817	5227
258	1824	5219
259	1831	5213
260	1837	5203
261	1843	5191
262	1848	5179
263	1854	5170
264	1860	5159
265	1867	5153
266	1873	5143
267	1880	5135
268	1885	5124
269	1891	5112
270	1898	5106
271	1904	5097
272	1911	5089
273	1918	5082
274	1925	5076
275	1932	5068
276	1942	5070
277	1948	5059
278	1953	5048
279	1959	5037
280	1966	5030
281	1973	5023
282	1978	5012
283	1984	5002
284	1990	4993
285	1995	4982
286	2002	4974
287	2007	4963
288	2017	4962
289	2023	4952
290	2028	4943
291	2035	4935
292	2041	4925
293	2047	4916
294	2054	4909
295	2060	4899
296	2066	4890
297	2072	4881
298	2078	4872
299	2084	4863
300	2091	4857
301	2097	4848
302	2103	4838
303	2109	4830
304	2115	4821
305	2123	4816
306	2129	4807
307	2136	4799
308	2143	4794
309	2150	4786
310	2156	4777
311	2162	4769
312	2168	4760
313	2174	4750
314	2181	4742
315	2190	4740
316	2197	4734
317	2203	4724
318	2209	4716
319	2215	4707
320	2220	4697
321	2228	4692
322	2234	4684
323	2242	4677
324	2248	4670
325	2254	4661
326	2261	4654
327	2267	4644
328	2272	4635
329	2283	4636
330	2289	4626
331	2295	4618
332	2303	4613
333	2309	4605
334	2318	4602
335	2324	4592
336	2331	4586
337	2338	4580
338	2345	4572
339	2362	4586
340	2371	4582
341	2381	4581
342	2388	4575
343	2394	4566
344	2401	4558
345	2406	4549
346	2412	4540
347	2418	4531
348	2424	4521
349	2431	4515
350	2437	4506
351	2442	4496
352	2449	4489
353	2456	4482
354	2461	4473
355	2467	4464
356	2473	4455
357	2480	4448
358	2485	4438
359	2492	4430
360	2497	4421
361	2503	4412
362	2510	4406
363	2516	4396
364	2523	4389
365	2528	4380
366	2536	4375
367	2543	4367
368	2550	4360
369	2556	4352
370	2568	4354
371	2574	4345
372	2580	4337
373	2586	4328
374	2591	4319
375	2597	4311
376	2603	4302
377	2609	4293
378	2615	4285
379	2621	4276
380	2627	4268
381	2633	4259
382	2639	4251
383	2660	4268
384	2666	4259
385	2672	4251
386	2678	4243
387	2688	4240
388	2694	4231
389	2701	4226
390	2711	4222
391	2719	4217
392	2726	4211
393	2733	4204
394	2742	4199
395	2750	4195
396	2758	4190
397	2784	4211
398	2793	4208
399	2803	4205
400	2811	4199
401	2822	4199
402	2830	4192
403	2839	4188
404	2846	4182
405	2855	4177
406	2863	4171
407	2873	4169
408	2881	4163
409	2897	4169
410	2904	4162
411	2913	4157
412	2924	4156
413	2931	4149
414	2943	4149
415	2951	4143
416	2958	4135
417	2966	4130
418	2976	4127
419	2985	4123
420	2996	4121
421	3007	4119
422	3015	4113
423	3023	4107
424	3031	4101
425	3037	4093
426	3047	4088
427	3053	4080
428	3062	4076
429	3068	4067
430	3074	4059
431	3080	4050
432	3087	4042
433	3093	4034
434	3099	4025
435	3105	4016
436	3110	4007
437	3118	4000
438	3126	3995
439	3134	3988
440	3140	3980
441	3147	3973
442	3154	3966
443	3161	3959
444	3169	3952
445	3178	3947
446	3187	3943
447	3215	3962
448	3227	3960
449	3234	3953
450	3270	3981
451	3277	3973
452	3288	3970
453	3295	3962
454	3308	3962
455	3314	3954
456	3326	3952
457	3333	3945
458	3342	3939
459	3348	3931
460	3358	3927
461	3365	3919
462	3371	3910
463	3378	3903
464	3386	3896
465	3392	3887
466	3398	3879
467	3404	3869
468	3412	3863
469	3417	3854
470	3424	3845
471	3429	3836
472	3435	3827
473	3441	3819
474	3447	3810
475	3453	3802
476	3459	3793
477	3464	3783
478	3470	3775
479	3476	3766
480	3483	3759
481	3490	3751
482	3496	3743
483	3522	3755
484	3528	3746
485	3534	3738
486	3541	3730
487	3547	3722
488	3553	3713
489	3559	3704
490	3565	3696
491	3573	3689
492	3583	3685
493	3589	3676
494	3596	3669
495	3603	3661
496	3609	3653
497	3616	3646
498	3624	3638
499	3633	3633
500	3640	3625
501	3650	3621
502	3660	3617
503	3669	3611
504	3677	3604
505	3687	3600
506	3699	3596
507	3706	3590
508	3721	3589
509	3731	3585
510	3741	3580
511	3751	3575
512	3758	3568
513	3767	3562
514	3776	3556
515	3787	3552
516	3797	3547
517	3807	3542
518	3819	3539
519	3828	3534
520	3835	3526
521	3846	3521
522	3854	3515
523	3863	3509
524	3872	3503
525	3882	3498
526	3891	3492
527	3898	3485
528	3913	3484
529	3928	3483
530	3936	3477
531	3947	3472
532	3954	3464
533	3965	3460
534	3978	3458
535	3986	3451
536	3997	3446
537	4005	3439
538	4013	3432
539	4022	3426
540	4030	3419
541	4038	3412
542	4044	3403
543	4052	3396
544	4058	3388
545	4065	3380
546	4072	3372
547	4078	3364
548	4087	3357
549	4093	3349
550	4099	3340
551	4119	3343
552	4125	3334
553	4133	3327
554	4139	3319
555	4147	3312
556	4153	3303
557	4160	3295
558	4168	3288
559	4175	3280
560	4182	3272
561	4189	3265
562	4197	3258
563	4205	3250
564	4213	3243
565	4223	3238
566	4231	3231
567	4241	3225
568	4254	3222
569	4262	3215
570	4270	3208
571	4282	3204
572	4292	3198
573	4304	3194
574	4316	3190
575	4324	3183
576	4335	3178
577	4343	3171
578	4350	3163
579	4358	3156
580	4370	3152
581	4380	3145
582	4387	3138
583	4401	3135
584	4427	3140
585	4434	3132
586	4442	3125
587	4450	3118
588	4458	3111
589	4464	3102
590	4473	3096
591	4479	3087
592	4486	3079
593	4492	3070
594	4501	3063
595	4506	3054
596	4514	3047
597	4519	3038
598	4528	3031
599	4534	3022
600	4542	3015
601	4548	3007
602	4555	2999
603	4561	2990
604	4567	2982
605	4574	2974
606	4583	2967
607	4598	2964
608	4609	2959
609	4623	2956
610	4632	2949
611	4641	2942
612	4653	2938
613	4662	2930
614	4671	2924
615	4679	2917
616	4688	2910
617	4713	2913
618	4726	2909
619	4737	2903
620	4750	2899
621	4765	2895
622	4780	2892
623	4789	2885
624	4796	2878
625	4807	2872
626	4816	2865
627	4824	2857
628	4840	2855
629	4849	2847
630	4860	2842
631	4868	2834
632	4883	2831
633	4890	2823
634	4897	2815
635	4905	2807
636	4914	2800
637	4922	2792
638	4930	2785
639	4936	2776
640	4942	2768
641	4948	2759
642	4963	2755
643	4970	2747
644	4976	2739
645	4983	2730
646	4991	2723
647	4997	2714
648	5004	2706
649	5010	2697
650	5015	2688
651	5022	2680
652	5028	2672
653	5035	2663
654	5040	2655
655	5047	2646
656	5054	2638
657	5060	2630
658	5067	2622
659	5073	2613
660	5080	2605
661	5086	2597
662	5095	2589
663	5101	2581
664	5109	2573
665	5115	2565
666	5122	2557
667	5128	2548
668	5134	2540
669	5141	2532
670	5148	2524
671	5154	2516
672	5166	2510
673	5175	2503
674	5186	2497
675	5194	2489
676	5207	2484
677	5215	2477
678	5222	2468
679	5232	2462
680	5240	2454
681	5254	2449
682	5263	2442
683	5273	2436
684	5282	2429
685	5292	2422
686	5319	2423
687	5335	2419
688	5346	2413
689	5356	2406
690	5367	2400
691	5391	2399
692	5401	2392
693	5411	2385
694	5418	2377
695	5428	2371
696	5435	2363
697	5450	2358
698	5456	2349
699	5463	2341
700	5474	2334
701	5482	2327
702	5489	2319
703	5500	2312
704	5508	2304
705	5516	2297
706	5524	2289
707	5531	2281
708	5541	2274
709	5554	2268
710	5562	2261
711	5571	2253
712	5583	2247
713	5594	2241
714	5603	2233
715	5611	2225
716	5619	2217
717	5626	2210
718	5638	2203
719	5649	2196
720	5659	2189
721	5670	2183
722	5681	2176
723	5688	2168
724	5696	2160
725	5708	2154
726	5715	2146
727	5731	2141
728	5738	2133
729	5749	2126
730	5760	2119
731	5769	2112
732	5776	2104
733	5791	2098
734	5799	2090
735	5812	2085
736	5821	2077
737	5829	2069
738	5840	2062
739	5849	2055
740	5856	2047
741	5871	2041
742	5877	2033
743	5884	2024
744	5893	2017
745	5899	2008
746	5907	2000
747	5914	1992
748	5920	1983
749	5938	1979
750	5947	1972
751	5954	1963
752	5967	1957
753	5974	1949
754	5983	1941
755	5991	1933
756	6000	1926
757	6007	1918
758	6019	1911
759	6027	1903
760	6044	1898
761	6059	1892
762	6068	1885
763	6092	1881
764	6101	1874
765	6110	1866
766	6117	1858
767	6124	1850
768	6153	1848
769	6159	1839
770	6169	1832
771	6175	1823
772	6182	1815
773	6189	1807
774	6195	1798
775	6201	1790
776	6207	1781
777	6215	1773
778	6223	1765
779	6229	1757
780	6235	1748
781	6243	1740
782	6249	1731
783	6255	1723
784	6264	1715
785	6270	1707
786	6275	1698
787	6282	1690
788	6288	1681
789	6293	1673
790	6300	1664
791	6306	1656
792	6312	1647
793	6318	1639
794	6324	1630
795	6331	1622
796	6338	1614
797	6344	1606
798	6351	1597
799	6358	1589
800	6364	1581
801	6370	1572
802	6377	1564
803	6385	1556
804	6392	1548
805	6397	1539
806	6404	1531
807	6413	1523
808	6420	1515
809	6435	1509
810	6442	1501
811	6449	1493
812	6455	1484
813	6462	1476
814	6468	1468
815	6474	1460
816	6481	1451
